,Title,30dVolume,30dSales,30dAvg Price,Floor Price,Items
,I'M AIKO,4411.81,1172,3.76,2.49,1087
,Dapper Apes,901.12,260,3.47,2.95,20
,OG Astro Babies,602.83,215,2.80,1.65,92
,Message Party,600.15,190,3.16,2.20,7
,Astro Baby Apes,587.06,411,1.43,0.70,178
,DavidBioux | Boudoir,538.05,753,0.71,0.45,128
,REMASTERED,510.00,6,85.00,50.00,30
,Drop Out Kids,410.00,19,21.58,20.00,5
,Solana Sluts,402.02,456,0.88,0.60,564
,SynthNodes - RUGGED,375.13,54,6.95,0.10,102
,basis.markets,270.50,4,67.63,47.50,13
,Team Tuskers,261.19,161,1.62,0.30,142
,Nude and beautiful 1,203.42,134,1.52,1.00,29
,Kurama Foxes,202.41,256,0.79,5.00,2
,Sol Bit Stars,197.42,331,0.60,0.30,272
,Cozy Corners,182.00,45,4.04,30.00,1
,Solana Zombie Business,180.39,486,0.37,0.20,899
,Hypercube Series,160.00,37,4.32,3.00,23
,SOLgods,159.45,17,9.38,10.00,20
,Meta Waifus,137.98,100,1.38,0.70,731
,SOL NFL Player's,130.32,186,0.70,0.12,622
,SolNFTPad,123.86,266,0.47,0.25,233
,Crypto Idolz,114.73,118,0.97,0.69,530
,SOLIZENS,112.78,29,3.89,,0
,Astral Baby Ape Club,112.06,166,0.68,0.23,185
,Dronies,109.09,22,4.96,3.89,51
,Metaversol,105.81,76,1.39,0.15,21
,Lucky Crab,102.90,54,1.91,2.40,18
,Galactic Snake Society,97.50,522,0.19,0.20,141
,Crypto Idolz - Butts,94.96,193,0.49,0.23,878
,Gangster Gorillas,94.36,535,0.18,0.08,1227
,ArtMonkees,93.97,66,1.42,1.00,74
,Be Like Thug,91.00,18,5.06,5.00,62
,The Frenchies,87.01,66,1.32,0.90,73
,GreedyPigz,86.74,94,0.92,1.00,8
,The First 100,72.50,10,7.25,4.50,85
,Royal Lion Party Club,72.16,43,1.68,,1
,Astral Apes,61.01,47,1.30,0.67,102
,Galactic Gecko,60.00,2,30.00,17.50,10
,SolaJump NFT Game,59.11,41,1.44,1.37,72
,Solana Doodle Apes,56.76,206,0.28,0.10,395
,Celebrities,56.51,59,0.96,0.50,202
,Crypto Idolz - Faces,55.44,112,0.50,0.25,934
,Nude Body Aesthetic,55.00,21,2.62,2.50,81
,CryptoCards (Solana),54.35,35,1.55,0.30,716
,TamaKo - Origins,53.88,30,1.80,1.00,40
,Famous People,51.79,108,0.48,0.35,335
,bright celebrities,50.07,101,0.50,0.25,297
,ALL.ART CIRCLE,49.05,24,2.04,0.28,350
,Pixel Invaderz,48.36,11,4.40,1.80,43
,TheMonkeyDesignClub,48.04,20,2.40,2.00,43
,Lift-off Pass,47.50,10,4.75,4.75,91
,Seeded Baggie,45.22,42,1.08,0.50,36
,Synthwave,44.41,105,0.42,0.15,61
,Investor Whale,43.70,8,5.46,3.50,22
,MyRareFrog (Solana),41.15,10,4.12,0.95,391
,BOSS BULLS ™ CLUB,39.24,29,1.35,0.90,130
,SS x Bulldog reMint,38.00,10,3.80,,0
,The Fracture: SOLgods Prestige Collection,38.00,2,19.00,6666.00,2
,CitizenOne,37.02,22,1.68,1.55,29
,Mutant Doodle Apes,36.80,379,0.10,0.04,1054
,Officers,36.80,2,18.40,18.40,9
,Solana Pawn Stars,34.34,16,2.15,5.50,1
,Hot Bunnies NFT,34.16,22,1.55,0.43,415
,Meta Estates,34.01,64,0.53,0.18,36
,Magnum AI,33.87,8,4.23,,0
,Solana Pimps,33.18,25,1.33,0.80,56
,2022 is Gonna Be SOL Cool,33.08,380,0.09,0.02,339
,Genesis Zombies,32.53,36,0.90,0.40,125
,ANUNNAKIS I,32.31,11,2.94,0.30,53
,PixTapes,32.24,136,0.24,0.14,1025
,Spirit4,32.15,6,5.36,1.70,74
,DeGods NFT,31.98,3,10.66,14.97,1
,Moshed Ape Club,31.61,27,1.17,0.80,24
,Crypto Cosplay Club,30.80,46,0.67,0.25,50
,Pixel Pigs,30.64,154,0.20,0.15,363
,Crypto Demiurg NFT,29.53,7,4.22,4.75,14
,Nekoverse Lost Chest,28.54,130,0.22,0.21,151
,SOLEMENTS,27.80,85,0.33,0.19,60
,Sol Vikings,27.75,20,1.39,1.00,59
,Rich Monkey Island,27.55,30,0.92,1.65,7
,SolCity,25.43,22,1.16,0.40,236
,The Moon Boy,24.89,6,4.15,2.67,38
,Barber Heart,24.80,3,8.27,8.30,6
,Shipsgrave,24.62,5,4.92,18.00,13
,Famous Characters,24.50,46,0.53,0.35,243
,SolChan NFT,23.20,76,0.31,0.24,236
,Fantasy Beach Club,22.43,203,0.11,0.16,145
,Bankrupt Ape Club,22.31,65,0.34,0.10,188
,GALAXXIA,21.75,30,0.72,2.00,11
,CryptoCactus Family,21.68,19,1.14,0.50,66
,CryptoCards,21.52,65,0.33,0.30,150
,Duck Sister,21.06,279,0.08,0.05,241
,Rich Monkey Potion,20.10,30,0.67,1.00,7
,Genopets / Terraform Seed,19.89,127,0.16,0.23,114
,Shameless Pleasure,19.09,11,1.74,0.99,12
,Wiz NFT Collection,18.67,64,0.29,0.15,54
,Otaku Origins,18.57,24,0.77,0.85,15
,MadTrooper,18.38,9,2.04,0.50,138
,Rogue Pandas,18.14,45,0.40,0.75,27
